Title,Year,Rating,Box Office,Category
Movie B,2011,10.0,795214131.81,Drama
Movie C,2017,10.0,551026150.32,Drama
Movie A,1985,10.0,89043783.53,Romance
Movie C,1986,10.0,688737638.74,Drama
Movie E,2007,10.0,834098969.88,Romance
Movie C,2012,10.0,399259297.35,Crime
Movie B,1989,10.0,893894811.85,Romance
Movie A,2014,10.0,487817962.75,Crime
Movie C,2022,10.0,30006573.56,Romance
Movie A,2002,10.0,883404088.83,Action
Movie B,2006,10.0,473544691.32,Romance
Movie B,1985,10.0,70305659.44,Comedy
Movie C,1982,10.0,987731114.42,Drama
Movie E,2018,10.0,420801687.1,Romance
Movie E,1994,10.0,443087926.95,Crime
Movie C,2009,10.0,186642840.77,Romance
Movie C,2023,10.0,982911659.71,Action
Movie D,2007,10.0,894949373.62,Romance
Movie C,2012,10.0,650917969.19,Drama
Movie C,2023,10.0,956279919.21,Action
Movie A,1996,10.0,404384051.55,Romance
Movie E,1988,10.0,502111473.79,Drama
Movie E,1996,10.0,618329838.56,Crime
Movie E,1989,10.0,37854351.33,Action
Movie B,1991,10.0,320143838.07,Drama
Movie D,1988,10.0,30368249.43,Drama
Movie B,1999,10.0,291157835.66,Comedy
Movie E,2016,10.0,495612841.74,Action
Movie D,1994,10.0,236346712.79,Romance
Movie A,1986,10.0,288155275.23,Action
Movie D,2011,10.0,905930564.73,Romance
Movie C,2013,10.0,424087099.06,Romance
Movie C,1980,10.0,396345836.69,Crime
Movie B,2009,10.0,65093066.04,Crime
Movie C,1983,10.0,296970376.2,Crime
Movie B,2015,10.0,972395328.83,Romance
Movie C,1988,10.0,457179943.34,Romance
Movie B,1982,10.0,26671795.99,Comedy
Movie C,1989,10.0,147036998.55,Crime
Movie A,1993,10.0,241828279.3,Action
Movie A,1998,10.0,285728185.96,Comedy
Movie B,2014,10.0,575495009.29,Drama
Movie A,2002,10.0,433486124.14,Comedy
Movie B,1995,10.0,880249610.94,Drama
Movie E,2022,10.0,665672198.44,Comedy
Movie D,2022,10.0,459063610.48,Action
Movie C,1994,10.0,714647251.29,Comedy
Movie C,2007,10.0,539901608.83,Romance
Movie C,1987,10.0,760758091.59,Drama
Movie A,1984,10.0,647910523.97,Comedy
Movie D,2014,10.0,518147346.4,Romance
Movie A,2007,10.0,383376345.97,Romance
Movie C,2017,10.0,99640737.15,Action
Movie C,2015,10.0,771582932.76,Action
Movie D,2020,10.0,446706426.65,Crime
Movie E,1980,10.0,976995826.86,Romance
Movie B,1997,10.0,213660156.12,Crime
Movie E,1997,9.9,228596391.18,Romance
Movie E,2007,9.9,367183496.98,Crime
Movie E,1989,9.9,181910178.68,Comedy
Movie B,2020,9.9,737079663.26,Comedy
Movie B,1992,9.9,639662825.01,Comedy
Movie E,2022,9.9,883977938.91,Romance
Movie E,2021,9.9,676335590.48,Crime
Movie D,2010,9.9,14533273.86,Drama
Movie A,1982,9.9,475383525.72,Drama
Movie D,2014,9.9,447482264.9,Romance
Movie B,2002,9.9,346557428.35,Romance
Movie B,1996,9.9,489566269.84,Crime
Movie E,2003,9.9,799668239.25,Action
Movie C,2018,9.9,767862711.45,Crime
Movie B,2013,9.9,320953206.34,Action
Movie B,2008,9.9,122105396.68,Drama
Movie D,2005,9.9,887865623.62,Action
Movie D,2005,9.9,361876458.07,Comedy
Movie B,2017,9.9,96254657.09,Crime
Movie E,2013,9.9,840175429.48,Crime
Movie A,1998,9.9,473995890.6,Romance
Movie B,2022,9.9,423038190.49,Crime
Movie E,1982,9.9,355470901.58,Crime
Movie C,2015,9.9,139896983.87,Crime
Movie B,1981,9.9,970412208.83,Romance
Movie E,2007,9.9,84482015.2,Action
Movie C,2009,9.9,306620655.91,Romance
Movie E,1996,9.9,554406037.23,Comedy
Movie C,2016,9.9,990008839.7,Comedy
Movie C,2009,9.9,851924720.23,Romance
Movie E,1984,9.9,317559465.12,Drama
Movie C,2018,9.9,510587531.69,Drama
Movie D,2013,9.9,919962674.69,Crime
Movie B,2021,9.9,486094230.18,Crime
Movie E,2018,9.9,96985876.69,Crime
Movie B,1980,9.9,377947478.69,Crime
Movie B,2017,9.9,104744986.82,Action
Movie B,2013,9.9,303740552.38,Romance
Movie C,2005,9.9,45535977.48,Drama
Movie C,2007,9.9,455141284.34,Crime
Movie B,1985,9.9,706000853.52,Drama
Movie C,1988,9.9,873234450.81,Action
Movie A,2018,9.9,746635739.33,Romance
Movie D,2018,9.9,735300993.22,Crime
Movie E,2020,9.9,953866892.68,Action
Movie E,1991,9.9,205316659.42,Crime
Movie B,1994,9.9,134868642.54,Drama
Movie B,2013,9.9,366682748.92,Comedy
Movie E,2006,9.9,920591494.76,Drama
Movie E,2014,9.9,62655876.23,Romance
Movie C,1992,9.9,572238989.65,Comedy
Movie D,2008,9.9,272700666.9,Romance
Movie C,1989,9.9,312811306.05,Crime
Movie C,1992,9.9,886662593.97,Action
Movie C,1988,9.9,201601395.19,Drama
Movie E,1980,9.9,357470267.19,Drama
Movie C,2023,9.9,341782465.06,Action
Movie D,1996,9.9,658189916.2,Comedy
Movie D,2004,9.9,992267372.78,Romance
Movie D,1989,9.9,673065563.89,Action
Movie E,1984,9.9,693379369.3,Drama
Movie E,1983,9.9,446670151.53,Romance
Movie D,1985,9.9,946041395.99,Drama
Movie B,2002,9.9,987311424.12,Comedy
Movie C,2001,9.9,722928999.89,Drama
Movie C,2006,9.9,889658328.4,Drama
Movie E,2015,9.9,587441269.74,Comedy
Movie C,2022,9.9,210517682.58,Drama
Movie E,2019,9.9,408324817.32,Crime
Movie E,2005,9.9,143081729.43,Romance
Movie E,2000,9.9,2863015.97,Crime
Movie D,2016,9.9,829650848.57,Drama
Movie E,2007,9.9,53030615.49,Comedy
Movie B,1985,9.9,707624569.27,Drama
Movie A,2018,9.9,158857878.61,Drama
Movie D,2000,9.9,585990824.91,Drama
Movie A,1989,9.9,626349868.91,Romance
Movie A,1994,9.9,955982956.13,Crime
Movie E,1993,9.9,801895833.42,Comedy
Movie E,1992,9.9,890190687.92,Romance
Movie D,1981,9.9,100467747.87,Romance
Movie B,2015,9.9,38557921.16,Comedy
Movie C,2021,9.9,139897382.8,Romance
Movie D,2015,9.9,176246744.94,Crime
Movie A,1996,9.9,805534565.07,Comedy
Movie E,1986,9.9,720048181.93,Action
Movie E,2003,9.9,442439274.65,Comedy
Movie A,2001,9.9,524947992.27,Comedy
Movie B,2004,9.9,127716255.23,Drama
Movie D,2001,9.9,145077564.88,Action
Movie C,2015,9.9,812258641.69,Action
Movie E,2002,9.9,79667225.42,Drama
Movie E,1992,9.9,921868039.42,Comedy
Movie A,1998,9.9,590975127.55,Romance
Movie C,2003,9.9,564694438.69,Romance
Movie D,2023,9.9,622282106.59,Action
Movie C,1988,9.9,418386275.05,Crime
Movie A,2010,9.9,102910924.44,Drama
Movie D,1984,9.9,580541984.88,Crime
Movie A,2016,9.9,47742011.55,Drama
Movie A,2021,9.9,369243255.74,Crime
Movie D,2000,9.9,521288497.4,Drama
Movie D,2012,9.9,88340321.98,Action
Movie B,2002,9.9,699898662.39,Crime
Movie B,2017,9.9,590975127.55,Romance
Movie D,1986,9.9,272130451.38,Drama
Movie E,2014,9.9,773106818.43,Drama
Movie C,2006,9.9,565431009.91,Action
Movie E,1991,9.9,43611961.26,Comedy
Movie B,2000,9.9,956462987.53,Comedy
Movie E,2011,9.9,136754021.15,Crime
Movie C,1992,9.9,732684326.26,Crime
Movie E,2008,9.9,283119920.58,Action
Movie E,1998,9.9,644078545.92,Crime
Movie B,2014,9.9,927697409.42,Action
Movie B,1999,9.9,182315468.34,Crime
Movie C,2017,9.9,481440758.27,Action
Movie D,1992,9.9,310030517.48,Drama
Movie A,1999,9.9,247363516.74,Drama
Movie A,1982,9.9,817691143.95,Crime
Movie B,2006,9.9,746410975.66,Romance
Movie B,1985,9.9,938495855.76,Romance
Movie D,1997,9.9,16154922.43,Drama
Movie E,2007,9.8,651141991.27,Action
Movie A,2021,9.8,32997747.68,Drama
Movie C,1988,9.8,143081729.43,Crime
Movie B,2009,9.8,790322111.13,Crime
Movie A,1980,9.8,193358462.67,Drama
Movie A,2021,9.8,320663493.53,Action
Movie E,2002,9.8,166409174.81,Action
Movie C,2000,9.8,632059713.37,Action
Movie A,2011,9.8,409005982.23,Action
Movie C,1991,9.8,246730069.74,Drama
Movie B,1989,9.8,740082429.49,Action
Movie E,1994,9.8,421564490.37,Romance
Movie E,1986,9.8,872985898.38,Drama
Movie D,1995,9.8,92032304.98,Romance
Movie C,1991,9.8,430467528.86,Drama
Movie A,2014,9.8,803410837.04,Comedy
Movie B,1981,9.8,608637620.24,Action
Movie B,2003,9.8,241861416.55,Drama
Movie A,2000,9.8,467045889.04,Action
Movie D,1997,9.8,4452989.18,Comedy
Movie B,1994,9.8,484504683.43,Comedy
Movie D,1989,9.8,858470646.76,Comedy
Movie D,1992,9.8,342197364.77,Romance
Movie A,2019,9.8,651215806.62,Drama
Movie C,2018,9.8,231487366.64,Crime
Movie A,2020,9.8,155671872.45,Comedy
Movie A,1986,9.8,241589414.07,Comedy
Movie A,1984,9.8,250035028.33,Drama
Movie D,2003,9.8,112070577.42,Romance
Movie D,2010,9.8,308990676.43,Drama
Movie D,2016,9.8,492476556.82,Action
Movie B,1985,9.8,193332908.11,Action
Movie C,1980,9.8,787973467.27,Crime
Movie D,1983,9.8,67916007.14,Action
Movie B,2023,9.8,285728843.72,Drama
Movie E,1997,9.8,326385172.98,Drama
Movie C,2014,9.8,787664467.21,Romance
Movie C,1995,9.8,88028168.54,Romance
Movie D,1994,9.8,208271491.16,Action
Movie A,2021,9.8,530616485.69,Drama
Movie C,2019,9.8,479227263.64,Action
Movie C,2011,9.8,998588873.8,Comedy
Movie C,2017,9.8,145908515.33,Action
Movie E,1990,9.8,324307507.28,Drama
Movie A,1988,9.8,676680458.35,Action
Movie E,1985,9.8,828605399.66,Crime
Movie C,2020,9.8,256147207.8,Action
Movie D,1981,9.8,141950001.5,Action
Movie D,2023,9.8,778349073.42,Romance
Movie E,1987,9.8,333763315.52,Romance
Movie A,1983,9.8,151024378.8,Action
Movie D,1997,9.8,983716664.51,Drama
Movie E,2002,9.8,185109291.97,Comedy
Movie D,1980,9.8,654130610.51,Crime
Movie A,2013,9.8,806999782.74,Drama
Movie B,2010,9.8,789975115.15,Action
Movie D,2021,9.8,586077843.17,Comedy
Movie D,2015,9.8,70896237.0,Drama
Movie B,2017,9.8,917591264.29,Action
Movie B,2000,9.8,730844907.59,Action
Movie D,2010,9.8,15565760.38,Drama
Movie E,2022,9.8,696267333.74,Crime
Movie E,2022,9.8,934713770.45,Romance
Movie B,2000,9.8,686865301.98,Drama
Movie A,2001,9.8,662266355.7,Action
Movie E,1995,9.8,961003880.51,Comedy
Movie B,2017,9.8,429454365.41,Romance
Movie D,1983,9.8,651888645.43,Crime
Movie C,2008,9.8,231266980.88,Romance
Movie A,1986,9.8,972395328.83,Romance
Movie D,1982,9.8,376439351.77,Crime
Movie C,2012,9.8,53338917.14,Drama
Movie C,1996,9.8,668772048.96,Crime
Movie B,2001,9.8,427688833.27,Crime
Movie B,1985,9.8,988340802.87,Comedy
Movie B,1996,9.8,353014235.46,Comedy
Movie A,1987,9.8,779560527.51,Crime
Movie E,2016,9.8,820417974.98,Crime
Movie B,2017,9.8,543072702.07,Crime
Movie C,1992,9.8,817142074.01,Drama
Movie C,1982,9.8,105186739.93,Crime
Movie E,2016,9.8,949872145.49,Action
Movie D,2013,9.8,989055244.21,Romance
Movie E,1984,9.8,916286342.43,Drama
Movie C,2001,9.8,122202963.39,Drama
Movie B,1991,9.8,921661347.99,Romance
Movie A,1982,9.8,926566534.69,Romance
Movie B,1993,9.8,445703166.35,Crime
Movie C,1982,9.8,848225190.63,Action
Movie E,1999,9.8,489152683.99,Drama
Movie E,1993,9.8,427394328.59,Comedy
Movie A,1993,9.8,351010195.94,Comedy
Movie B,2012,9.8,703866710.14,Romance
Movie A,1988,9.8,341528860.3,Comedy
Movie C,1992,9.8,239067936.35,Romance
Movie C,2001,9.8,976000476.48,Romance
Movie B,2015,9.8,259784198.62,Romance
Movie E,2015,9.8,295615424.47,Crime
Movie C,2013,9.8,326212311.52,Action
Movie B,1990,9.8,370002128.65,Drama
Movie E,2000,9.8,3520041.75,Romance
Movie D,1997,9.8,173843526.54,Romance
Movie E,1995,9.8,289549567.49,Crime
Movie C,2016,9.8,245780925.67,Romance
Movie C,2020,9.7,844886257.98,Action
Movie A,1982,9.7,410215695.71,Action
Movie A,1983,9.7,840956886.52,Comedy
Movie C,2021,9.7,697072883.25,Drama
Movie E,1980,9.7,807901337.22,Crime
Movie C,1998,9.7,380049596.72,Comedy
Movie B,2001,9.7,826669341.65,Crime
Movie D,2010,9.7,61645438.04,Romance
Movie C,2018,9.7,347128189.98,Crime
