Title,Year,Rating,Box Office,Category
Movie D,2012,3.1,872334376.63,Comedy
Movie D,1992,1.4,459935429.13,Drama
Movie C,1986,4.9,181465508.33,Crime
Movie A,2013,5.3,374593518.4,Crime
Movie B,1993,9.6,176691219.26,Action
Movie B,2011,3.3,766183269.16,Action
Movie C,1988,1.7,774487833.01,Comedy
Movie C,2005,1.9,228668725.24,Action
Movie E,1991,7.5,58766232.78,Drama
Movie C,1985,8.8,449729526.33,Romance
Movie D,2009,1.5,210770870.49,Drama
Movie C,2013,4.9,855943864.47,Crime
Movie B,2005,1.4,592200649.4,Action
Movie A,1991,7.3,855002476.22,Romance
Movie E,2005,3.1,834523337.55,Comedy
Movie D,2004,8.3,156046527.84,Comedy
Movie A,2006,3.4,413729553.42,Drama
Movie D,1982,4.8,369151647.59,Action
Movie A,2011,1.8,923928860.24,Crime
Movie D,1990,2.1,585892346.6,Comedy
Movie D,2015,6.4,738380763.43,Comedy
Movie C,2008,3.8,129013157.46,Action
Movie E,2011,1.8,544439978.92,Drama
Movie B,2020,1.7,150668660.01,Crime
Movie D,1996,5.5,151250728.43,Romance
Movie C,2020,8.3,1072708.01,Crime
Movie D,2001,1.5,402070831.85,Romance
Movie D,1987,7.0,788986438.88,Action
Movie D,2003,2.1,508551408.26,Action
Movie C,2016,2.2,24428889.66,Comedy
Movie A,2015,8.0,830618490.52,Romance
Movie E,1997,9.9,228596391.18,Romance
Movie A,2005,6.6,95416990.8,Action
Movie E,2003,7.2,912260831.48,Romance
Movie B,2005,8.7,174093455.61,Drama
Movie C,1987,7.8,722404521.09,Crime
Movie B,1987,1.9,857365029.73,Action
Movie C,2005,2.3,613047180.71,Crime
Movie E,2015,7.8,956377249.17,Romance
Movie D,2000,4.8,609032226.02,Comedy
Movie C,1992,4.3,956011476.88,Drama
Movie E,2001,3.7,213660156.12,Crime
Movie D,2000,5.2,647398561.14,Comedy
Movie D,1993,4.0,478445411.03,Romance
Movie D,2012,8.0,33530418.27,Action
Movie D,2013,1.7,168733642.99,Crime
Movie D,1983,6.3,280947798.37,Action
Movie E,2012,8.4,972030209.86,Drama
Movie C,2002,7.1,785583775.49,Action
Movie D,2007,4.4,717517757.35,Romance
Movie A,2019,8.8,15456769.38,Crime
Movie A,1997,5.1,280135841.58,Drama
Movie C,1980,5.4,563497955.83,Romance
Movie E,2017,6.4,72052743.01,Action
Movie C,2002,8.2,358420584.7,Drama
Movie B,1980,5.2,326070155.42,Crime
Movie E,2005,4.1,738574205.3,Drama
Movie B,1980,3.2,904255136.32,Comedy
Movie B,2012,5.4,359219848.85,Crime
Movie E,1980,4.1,342560447.78,Comedy
Movie C,2021,5.8,46745464.06,Crime
Movie C,1997,4.7,473995890.6,Action
Movie E,1988,3.6,139047468.64,Romance
Movie B,2014,5.9,534534757.51,Comedy
Movie B,2016,6.2,580541984.88,Comedy
Movie C,2020,9.7,844886257.98,Action
Movie C,1999,7.9,988763938.45,Action
Movie E,2014,3.8,910414508.82,Romance
Movie D,2019,7.7,356173157.05,Action
Movie D,1981,2.7,948964428.31,Crime
Movie D,1983,3.6,518219127.2,Romance
Movie A,2020,2.7,949295405.42,Drama
Movie D,1991,7.6,641205849.56,Drama
Movie E,2020,8.8,583307865.84,Romance
Movie B,1988,8.0,496199309.13,Action
Movie B,2021,9.1,992276714.91,Romance
Movie A,2001,4.4,587946772.64,Action
Movie A,2008,1.3,960404952.97,Romance
Movie A,1984,1.4,554929524.92,Action
Movie A,2018,1.2,773569093.35,Drama
Movie B,1999,8.5,948779581.16,Action
Movie A,1998,4.8,14589580.58,Comedy
Movie B,1992,2.5,570114376.25,Action
Movie B,2008,1.3,802486070.35,Romance
Movie B,2016,6.6,320953206.34,Crime
Movie C,2016,2.8,53091808.98,Crime
Movie B,2009,5.2,475555706.78,Romance
Movie D,2007,8.6,506130768.8,Action
Movie C,2020,4.6,554406037.23,Drama
Movie A,2014,2.9,813562430.31,Comedy
Movie A,2019,8.2,550634818.85,Crime
Movie E,1989,5.3,821542178.7,Crime
Movie E,2000,8.6,88790643.3,Comedy
Movie C,1990,3.7,299552752.41,Action
Movie D,2023,8.2,976141058.68,Drama
Movie D,2002,5.6,460861281.99,Comedy
Movie B,1996,7.5,267557136.39,Action
Movie B,1984,1.9,333805149.02,Action
Movie D,1983,9.6,570992567.7,Crime
Movie E,2007,9.1,144289926.62,Comedy
Movie C,2017,7.1,605398158.02,Comedy
Movie E,1996,3.1,640768446.38,Comedy
Movie C,1982,7.9,135937328.75,Comedy
Movie B,1991,7.7,256911335.97,Crime
Movie A,1995,8.5,968990103.98,Crime
Movie D,2022,1.4,813514676.21,Comedy
Movie D,2012,1.5,125633048.69,Romance
Movie E,1992,2.4,575295361.13,Romance
Movie C,2008,6.8,648617326.93,Drama
Movie B,2011,6.9,604746566.79,Drama
Movie A,2000,1.0,366901492.68,Romance
Movie A,1992,5.8,662717257.8,Crime
Movie E,2006,2.6,154736095.04,Crime
Movie C,2016,7.0,68766524.35,Action
Movie B,1997,6.1,738842630.34,Action
Movie B,1999,1.3,340537557.39,Romance
Movie D,1996,2.3,589556212.94,Action
Movie C,1985,3.2,247420301.14,Crime
Movie A,1990,8.7,815190334.34,Comedy
Movie C,1991,2.7,414464550.86,Action
Movie D,2011,5.0,899348561.95,Drama
Movie C,1981,6.8,58230198.25,Crime
